"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0415506606124512,0,0,"noAFM","2020"
"RCP2.6_SFM",0.0416163090213179,0,0,"noAFM","2020"
"REF_MFM",0.0424351647183596,0,0,"noAFM","2020"
"REF_SFM",0.0424856107700936,0,0,"noAFM","2020"
"RCP2.6_MFM",0.0417112038877922,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.0475735308833551,0,0,"AFMfree","2020"
"REF_MFM",0.0428410261953662,0,0,"AFMfree","2020"
"REF_SFM",0.048354211701749,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.0416301930701606,0,0,"AFM25","2020"
"RCP2.6_SFM",0.0471163622100349,0,0,"AFM25","2020"
"REF_MFM",0.0428063116728583,0,0,"AFM25","2020"
"REF_SFM",0.0482225358123751,0,0,"AFM25","2020"
"RCP2.6_MFM",0.0415882234862007,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0466304244965628,0,0,"AFM50","2020"
"REF_MFM",0.0426184851513769,0,0,"AFM50","2020"
"REF_SFM",0.0475030778616151,0,0,"AFM50","2020"
"RCP2.6_MFM",0.0415893657035621,0,0,"AFM75","2020"
"RCP2.6_SFM",0.0460244643475765,0,0,"AFM75","2020"
"REF_MFM",0.0425338152050074,0,0,"AFM75","2020"
"REF_SFM",0.0466173779535802,0,0,"AFM75","2020"
"RCP2.6_MFM",0.0414759400286958,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0451651271704534,0,0,"AFM100","2020"
"REF_MFM",0.0422539417394044,0,0,"AFM100","2020"
"REF_SFM",0.0457435381252069,0,0,"AFM100","2020"
"RCP2.6_MFM",0.0438673890297176,0,0,"noAFM","2030"
"RCP2.6_SFM",0.0440045061419633,0,0,"noAFM","2030"
"REF_MFM",0.0427594984508381,0,0,"noAFM","2030"
"REF_SFM",0.0428468986141874,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0430770922487064,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.0480562839904885,0,0,"AFMfree","2030"
"REF_MFM",0.0423483379624269,0,0,"AFMfree","2030"
"REF_SFM",0.046032044156985,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.0435127650233377,0,0,"AFM25","2030"
"RCP2.6_SFM",0.0469280882668925,0,0,"AFM25","2030"
"REF_MFM",0.0430166220018245,0,0,"AFM25","2030"
"REF_SFM",0.0456694876031577,0,0,"AFM25","2030"
"RCP2.6_MFM",0.0431448301280169,0,0,"AFM50","2030"
